Year,Length,Title,Subject
1990,111,Tie Me Up! Tie Me Down!,Comedy
1991,113,High Heels,Comedy
1983,104,Dead Zone_ The,Horror
1979,122,Cuba,Action
1978,94,Days of Heaven,Drama
1983,140,Octopussy,Action
1984,101,Target Eagle,Action
1989,99,American Angels: Baptism of Blood_ The,Drama
1985,104,Subway,Drama
1990,149,Camille Claudel,Drama
1982,188,Fanny and Alexander,Drama
1982,117,Tragedy of a Ridiculous Man,Drama
1966,103,A Man & a Woman,Drama
1986,112,A Man & a Woman: Twenty Years Later,Drama
1966,103,Un Hombre y una Mujer,Drama
1985,112,Official Story_ The,Drama
1976,150,Lindbergh Kidnapping Case_ The,Drama
1929,84,Blackmail,Mystery
1963,109,Donovan's Reef,Comedy
1988,110,Tucker: The Man & His Dream,Drama
1988,101,Scrooged,Comedy
1981,116,Raiders of the Lost Ark,Action
1987,101,Running Man_ The,Science Fiction
1991,105,Predator 2,Action
1988,127,Colors,Drama
1990,97,Zandalee,Drama
1988,108,Miles from Home,Drama
1980,131,Happy Birthday to Me,Horror
1989,88,Final Notice,Mystery
1979,110,Quintet,Drama
1960,90,Devil's Eye_ The,Drama
1957,91,Wild Strawberries,Drama
1956,96,Seventh Seal_ The,Drama
1992,90,Germicide,Drama
1955,86,Dreams,Drama
1955,95,Naked Night_ The,Drama
1962,91,Through a Glass Darkly,Drama
1972,91,Cries & Whispers,Drama
1958,104,Barbarian & the Geisha_ The,Action
1967,130,Casino Royale,Comedy
1962,131,Dr. No,Action
1954,103,Elephant Walk,Drama
1979,121,Ten,Comedy
1983,118,Man Who Loved Women_ The,Comedy
1966,190,Hawaii,Drama
1966,125,Torn Curtain,Mystery
1986,107,Duet for One,Drama
1965,172,Sound of Music_ The,Music
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy
1984,140,Tartuffe,Comedy
1988,104,A New Life,Comedy
1978,106,Magic,Mystery
1992,286,Tommy,Music
1978,108,Big Fix_ The,Mystery
1992,95,Alan & Naomi,Drama
1987,120,Fatal Attraction,Mystery
1992,117,Patriot Games,Action
1981,106,Woman Next Door_ The,Drama
1992,97,Hunting,Mystery
1991,115,Bataan,War
1924,110,Siegfried_ The Nibelungenlied,Drama
1991,90,Henry_ Portrait of a Serial Killer,Horror
1988,118,Big Blue_ The,Drama
1991,115,Flight of the Intruder,Drama
1986,108,Nobody's Fool,Comedy
1985,97,After Hours,Comedy
1985,104,Desperately Seeking Susan,Comedy
1971,102,A New Leaf,Comedy
1959,91,Killers of Kilimanjaro,Action
1926,126,Don Juan,Action
1987,102,Babette's Feast,Drama
1989,118,Vincent_ Francois_ Paul & the Others,Drama
1988,141,Thunderball,Action
1926,66,Lodger (Story of the London Fog),Mystery
1988,103,Appointment with Death,Mystery
1974,128,Murder on the Orient Express,Mystery
1955,115,Blood Alley,War
1977,136,Spy Who Loved Me_ The,Action
1988,100,Storm,Action
1991,89,Bloodbath,Horror
1989,103,Miami Cops,Action
1996,96,Island of Dr. Moreau_ The,Horror
1992,100,Eighty-Four Charing Cross Road,Drama
1980,124,Elephant Man_ The,Drama
1988,90,Dr Alien,Science Fiction
1982,120,Creepshow,Horror
1987,100,Sammy & Rosie Get Laid,Drama
1971,101,Goalie's Anxiety at the Penalty Kick_ The,Drama
1957,99,Mademoiselle Striptease,Comedy
1969,86,Women_ The,Drama
1958,77,That Naughty Girl,Comedy
1959,90,Voulez-Vous Danser Avec Moi?,Comedy
1967,100,A Coeur Joie_ (Head Over Heels),Action
1968,113,Shalako,Westerns
1964,102,Contempt,Drama
1965,100,Dear Brigitte,Comedy
1962,134,A Very Private Affair,Drama
1964,99,Ravishing Idiot_ The,Comedy
1958,90,Bride Is Much Too Beautiful_ The,Comedy
1955,90,Doctor at Sea,Comedy
1962,100,Le Repos Du Guerrier_ (Warrior's Rest),War
1957,90,And God Created Woman,Drama
1973,87,Ms. Don Juan,Drama
1987,97,Siesta,Drama
1932,92,Rich & Strange,Drama
1987,104,Lionheart,Action
1982,115,E. T. The Extra-Terrestrial,Science Fiction
1992,101,Cool World,Drama
1988,83,Nadine,Comedy
1989,126,Batman,Action
1987,95,Blind Date,Comedy
1982,101,Mother Lode,Action
1992,125,Final Analysis,Drama
1983,134,Never Say Never Again,Action
1986,117,Nine & a Half Weeks,Drama
1989,131,Killjoy,Mystery
1986,108,No Mercy,Drama
1991,116,Marrying Man_ The,Comedy
1990,123,Misery,Horror
1946,93,Crisis,Drama
1984,95,Samson & Delilah,Drama
1990,101,Act of Piracy,Mystery
1988,96,Split Decisions,Drama
1989,103,Vampire's Kiss,Comedy
1988,96,Nightmare at Noon,Action
1990,127,Presumed Innocent,Mystery
1942,123,Reap the Wild Wind,Drama
1972,100,Pocket Money,Comedy
1977,102,Mary White,Drama
1982,131,Catch a Rising Star_ Tenth Anniversary,Comedy
1990,105,Guilty by Suspicion,Drama
1948,99,Secret Beyond the Door,Mystery
1945,103,Scarlet Street,Drama
1988,76,Daffy Duck's Quackbusters,Action
1985,55,Rowlf's Rhapsodies with the Muppets,Comedy
1982,188,Gandhi,Drama
1975,120,Wind & the Lion_ The,Action
1971,96,Carnal Knowledge,Drama
1970,126,Getting Straight,Comedy
1972,90,Scarlet Letter_ The,Drama
1935,75,Count of Old Town_ The,Comedy
1978,97,Autumn Sonata,Drama
1944,114,Gaslight,Drama
1958,100,Indiscreet,Drama
1941,75,Walpurgis Night,Drama
1948,100,Joan of Arc,Drama
1982,195,A Woman Called Golda,Drama
1969,98,A Walk in the Spring Rain,Drama
1949,117,Under Capricorn,Drama
1946,101,Notorious,Mystery
